Sex,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Females,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.9,80.8,81.5,81.5,82.0,82.2,82.4,82.6,82.9,83.1,83.1,83.3,83.4,83.3,83.5,83.4,83.5,83.8,83.1,82.8,83.2,83.9,84.1
Males,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.3,74.4,75.0,75.1,75.6,75.8,76.1,76.4,76.7,77.0,77.1,77.5,77.7,77.7,77.8,77.9,78.0,78.3,77.4,77.1,77.8,78.6,78.9
Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.6,77.7,78.3,78.4,78.9,79.1,79.3,79.5,79.8,80.1,80.2,80.5,80.6,80.5,80.7,80.7,80.8,81.1,80.3,80.0,80.6,81.2,81.5
