,2024
:at: Austria,82.1
:be: Belgium,82.4
:bg: Bulgaria,75.8
:hr: Croatia,78.9
:cy: Cyprus,83.5
:cz: Czech Rep.,80.1
:dk: Denmark,82.0
:eu: EU27,81.5
:ee: Estonia,79.4
:fi: Finland,82.2
:fr: France,83.0
:de: Germany,81.2
:gr: Greece,81.9
:hu: Hungary,76.8
:ie: Ireland,83.1
:it: Italy,83.7
:lv: Latvia,76.4
:lt: Lithuania,77.5
:lu: Luxembourg,83.2
:mt: Malta,83.0
:nl: Netherlands,81.9
:pl: Poland,78.5
:pt: Portugal,82.5
:ro: Romania,76.5
:sk: Slovakia,78.4
:si: Slovenia,82.1
:es: Spain,84.0
:se: Sweden,83.8
